,clean_text,clean_title,label
0,enunciate the annies listing political group supports third-trimester miscarriage on demand.,says the annies list political group supports third-trimester abortions on demand.,0
1,when did the decline of char start? it come out when instinctive brag subscribe off that come out to commence in (president george ii w.) bushs administration.,when did the decline of coal start? it started when natural gas took off that started to begin in (president george w.) bushs administration.,1
2,"sir edmund percival hillary dewitt clinton concord with king john mccain ""by vote to give george bush the benefit of the doubt on iran.""","hillary clinton agrees with john mccain ""by voting to give george bush the benefit of the doubt on iran.""",1
3,health care reclaim legislation is likely to mandate innocent sex transfer surgeries.,health care reform legislation is likely to mandate free sex change surgeries.,0
4,the economical turnaround set about at the terminal of my term.,the economic turnaround started at the end of my term.,1
5,the newmarket bears have had more protrude signal caller in the shoemakers last 10 years than the total act of tenure (uw) faculty sack during the shoemakers last deuce decades.,the chicago bears have had more starting quarterbacks in the last 10 years than the total number of tenured (uw) faculty fired during the last two decades.,1
6,jim dunnam has not populate in the territory he present for years now.,jim dunnam has not lived in the district he represents for years now.,0
7,"i'm the only someone on this stage who has ferment actively just finally year passing, on with rus feingold, some of the toughened ethical motive reclaim since watergate.","i'm the only person on this stage who has worked actively just last year passing, along with russ feingold, some of the toughest ethics reform since watergate.",1
8,"however, it took $19.5 million in beaver state drawing investment trust for the embrasure of newport to finally land the new national oceanic and atmospheric administration marine operations center-pacific.","however, it took $19.5 million in oregon lottery funds for the port of newport to eventually land the new noaa marine operations center-pacific.",1
9,says gop principal opponents john glenn grothman and joe leibham shape a via media vote that monetary value $788 one thousand thousand in higher electricity costs.,says gop primary opponents glenn grothman and joe leibham cast a compromise vote that cost $788 million in higher electricity costs.,1
10,"for the kickoff clock in history, the part of the internal popular voting margin is smaller than the hispanic voting margin.","for the first time in history, the share of the national popular vote margin is smaller than the latino vote margin.",1
11,"since 2000, nearly dozen  american language have slipped out of the middle stratum and into poverty.","since 2000, nearly 12 million americans have slipped out of the middle class and into poverty.",1
12,"when mitt romney was regulator of massachusetts, we didnt just decelerate the value of ontogenesis of our government, we in reality track it.","when mitt romney was governor of massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",0
13,the economy run $24 jillion due to the authorities shutdown.,the economy bled $24 billion due to the government shutdown.,1
14,most of the (affordable manage act) has already in some sentiency been relinquish or differently suspended.,most of the (affordable care act) has already in some sense been waived or otherwise suspended.,0
15,"in this net election in november, ... lxiii pct of the american hoi polloi choose not to vote, ... lxxx pct of untried people, (and) seventy five pct of low-income proletarian choose not to vote.","in this last election in november, ... 63 percent of the american people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",1
16,mccain fight down a prerequisite that the politics purchase american-made motorcycles. and he sound out all buy-american provisions were quotation 'disgraceful.' ,mccain opposed a requirement that the government buy american-made motorcycles. and he said all buy-american provisions were quote 'disgraceful.' ,1
17,"u.s. rep. daffo kind, d-wis., and his familiar democrat go on a outlay spree and now their deferred payment card is maxed out","u.s. rep. ron kind, d-wis., and his fellow democrats went on a spending spree and now their credit card is maxed out",0
18,"piddle range in manila, philippines, were lift up to 845 percent when a subsidiary of the domain bank turn a partial derivative owner.","water rates in manila, philippines, were raised up to 845 percent when a subsidiary of the world bank became a partial owner.",1
19,"most 100,000 people left puerto rico act last year.","almost 100,000 people left puerto rico last year.",1
20,womanhood and homo both are pass water less when you align for pompousness than when john kitzhaber was first elective governor.,women and men both are making less when you adjust for inflation than when john kitzhaber was first elected governor.,0
21,the united nation has the high incarnate tax rate in the free world.,the united states has the highest corporate tax rate in the free world.,1
22,we just had the best yr for the car diligence in the states in history.,we just had the best year for the auto industry in america in history.,1
23,"says robert scott walker prefer cutting up to 350,000 category and nestling off health care.","says scott walker favors cutting up to 350,000 families and children off health care.",1
24,says manus romney privation to get rid of project parenthood.,says mitt romney wants to get rid of planned parenthood.,0
25,i dont sleep together who (jonathan gruber) is.,i dont know who (jonathan gruber) is.,0
26,detest crimes against american english muslims and mosques have triple after city of light and san bernardino.,hate crimes against american muslims and mosques have tripled after paris and san bernardino.,1
27,wrick perry has neer lost an election and continue the only person to have won the lone star state governorship three time in landslip elections.,rick perry has never lost an election and remains the only person to have won the texas governorship three times in landslide elections.,1
28,"directorate for inter services intelligence supporter pinch at 10:34 ante meridiem shooting set about at 10:45 ante meridiem in chattanooga, tenn.","isis supporter tweeted at 10:34 a.m. shooting began at 10:45 a.m. in chattanooga, tenn.",0
29,juvenility unemployment in nonage communities is about 40 to xlv percent.,youth unemployment in minority communities is about 40 to 45 percent.,1
30,articulate saul ryan is still endorsing trump.,says paul ryan is still endorsing trump.,1
31,"if you depend at state department that are ripe to work, they forever do not have budget shortage and they have very dear line climates.","if you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",0
32,what (the obama judicature is) belong to get along out with in the next respective calendar month is youre not regular belong to be capable to burn char very limitedly in the survive plants.,what (the obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,0
33,we curve business sector taxes so today lxx per centum of our businesses dont pay a business sector tax.,we cut business taxes so today 70 percent of our businesses dont pay a business tax.,1
34,tell deutsche mark pryor vote with obama 93 percent of the time.,says mark pryor votes with obama 93 percent of the time.,1
35,we have a federal governing that call back they have the self confidence to shape our toilet seats.,we have a federal government that thinks they have the authority to regulate our toilet seats.,1
36,capital of texas is a metropolis that has basically doubled in size of it every xxv geezerhood or so since it was founded.,austin is a city that has basically doubled in size every 25 years or so since it was founded.,1
37,"the nuclear test take in our country this fourth dimension is the earth's 2,054th nuclear test. the quint perm member of the u.n. protection council have take 99.99 pct of the totality nuclear tests.","the nuclear test conducted in our nation this time is the earth's 2,054th nuclear test. the five permanent members of the u.n. security council have conducted 99.99 percent of the total nuclear tests.",1
38,"in the pillowcase of a ruinous event, the atlanta-area agency of the gist for disease hold in and bar will self-destruct.","in the case of a catastrophic event, the atlanta-area offices of the centers for disease control and prevention will self-destruct.",0
39,"under chairman george vi w. bush, we impart $4.9 one million million to the debt. under chairman obama weve impart $6.5 one million million to the debt.","under president george w. bush, we added $4.9 trillion to the debt. under president obama weve added $6.5 trillion to the debt.",1
40,says a u.s. sovereign tourist court doj evoke that some u.s. cases will be distinct based on south african law.,says a u.s. supreme court justice suggested that some u.s. cases will be decided based on south african law.,0
41,allege marco rubio skipped 18 defence mechanism right to vote including one to arm the kurds to push isis.,says marco rubio skipped 18 defense votes including one to arm the kurds to fight isis.,1
42,"rep. david cicilline is responsible for for the fed loan guarantee to solyndra, the go wrong solar society","rep. david cicilline is responsible for the federal loan guarantee to solyndra, the failed solar company",0
43,says ohio river budget item later signalize into police by gov. king john kasich postulate women seeking an abortion to undergo a compulsory vaginal probe.,says ohio budget item later signed into law by gov. john kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,0
44,we have a film director of motherland protection who cannot role and will not role the condition 'terrorist attack' but rather deputise 'man-made disaster.' ,we have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,0
45,black american spring chicken unemployment is  percent. hispanic spring chicken unemployment is 36 percent.,african-american youth unemployment is 51 percent. hispanic youth unemployment is 36 percent.,1
46,"obamacare will bring home the bacon insurance policy to all non-u.s. residents, even out if they are here illegally.","obamacare will provide insurance to all non-u.s. residents, even if they are here illegally.",0
47,president barack obama charter on the dot none of his own shortage reduction mission ideas. not one.,president barack obama took exactly none of his own deficit reduction commissions ideas. not one.,0
48,it was under barack obama and sir edmund hillary clinton that transfer the decree of interlocking that likely be (capt. humayun khans) life.,it was under barack obama and hillary clinton that changed the rules of engagement that probably cost (capt. humayun khans) life.,0
49,edmund hillary hilary rodham clinton in 2005 co-sponsored legislation that would put behind bars flag burners.,hillary clinton in 2005 co-sponsored legislation that would jail flag burners.,1
50,says the paperback version of manus romneys koran deleted line of descent that massachusetts individual authorization should be the model for the rural area,says the paperback edition of mitt romneys book deleted line that massachusetts individual mandate should be the model for the country,0
51,"maggie hassan stir tuition, crap it the gamey in america.","maggie hassan raised tuition, making it the highest in america.",0
52,says terry mcauliffe is the somebody who excogitate the strategy to rent out the abraham lincoln bedroom.,says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom.,0
53,"we produce 800,000 raw jobs, we stinger the unemployment rate almost in one half and nowadays raw house of york state department has more buck private sector jobs than it has ever so had in its history","we created 800,000 new jobs, we cut the unemployment rate almost in half and today new york state has more private sector jobs than it has ever had in its history",1
54,"we have town in occident lone star state that are out of water, that are having to hand truck in water.","we have towns in west texas that are out of water, that are having to truck in water.",0
55,"in georgia, char bring in  cents for every dollar earned by men.","in georgia, women earn 82 cents for every dollar earned by men.",1
56,a federal official scheme that avow employee are authoritative to work in the u.s. is inaccurate anyplace from l percent all the fashion up to in excess of  percent of the time.,a federal system that verifies employees are authorized to work in the u.s. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,1
57,"they were conk to construct the bulwark a while ago, not so farsighted ago, alike in 06. and they couldnt start out environmental bear upon statements.","they were going to build the wall a while ago, not so long ago, like in 06. and they couldnt get environmental impact statements.",0
58,sen. obama's political campaign proclaimed that he's choosing his cabinet.,sen. obama's campaign announced that he's choosing his cabinet.,0
59,"in 2008, only  pct of latino in lone star state were registered to vote and only  pct in reality turned out.","in 2008, only 54 percent of latinos in texas were registered to vote and only 35 percent actually turned out.",1
60,only two percent of public highschool schools in the res publica offer pe classes.,only 2 percent of public high schools in the country offer pe classes.,0
61,"enounce he's the only republican nominee ""who's actually turned roughly a government economy.""","said he's the only republican candidate ""who's actually turned around a government economy.""",1
62,"on armed services recruiter at harvard, elena kagan ""took a place and the sovereign woo ruled nem con that she was wrong.""","on military recruiters at harvard, elena kagan ""took a position and the supreme court ruled unanimously that she was wrong.""",1
63,"there are 321,092 world train teacher in texas. and there are 313,850 non-teachers in our world schools.","there are 321,092 public school teachers in texas. and there are 313,850 non-teachers in our public schools.",1
64,"under city manager cicilline, [providence] was a refuge city.","under mayor cicilline, [providence] was a sanctuary city.",0
65,transgendered soul in the u.s. have a 1-in-12 opportunity of being murdered.,transgender individuals in the u.s. have a 1-in-12 chance of being murdered.,0
66,"at bain capital, we serve start an ahead of time puerility learning fellowship called bright purview that first lady michelle obama justifiedly praised.","at bain capital, we helped start an early childhood learning company called bright horizons that first lady michelle obama rightly praised.",1
67,"order the gentlemans gentleman who stimulate the degree at him in dayton, ohio, had chatter about isis, or with directorate for inter services intelligence in his sociable medium posts.","says the man who rushed the stage at him in dayton, ohio, had chatter about isis, or with isis in his social media posts.",0
68,united states rep. phil gingrey gave the regime the top executive to electronically sleuth on american without a warrant.,u.s. rep. phil gingrey gave the government the power to electronically spy on americans without a warrant.,0
69,alex sink funnel iii quarters of a jillion dollars in no-bid contracts to banking concern of america.,alex sink funneled three quarters of a million dollars in no-bid contracts to bank of america.,0
70,"if you issue the universe ontogenesis here in virginia, we are net zippo on job foundation since (bob mcdonnell) become governor.","if you take the population growth here in virginia, we are net zero on job creation since (bob mcdonnell) became governor.",1
71,"under obama, national measure in everglade state collapsed, construction jobs were lost and the res publica had a high up foreclosure rate.","under obama, home values in florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",0
72,"the new az immigration natural law ""says that any patrol officer can stop over anyone who appear to them to be sanely untrusting of being an undocumented person.""","the new arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",1
