,clean_text,clean_title,label
0,group supports thirdtrimester abortions demand,says annies list political group supports thirdtrimester abortions demand,0
1,decline coal begin began natural gas started flowing president george bushs administration,decline coal start started natural gas took started begin president george bushs administration,1
2,hillary clinton agrees john mccain voting give george bush benefit doubt iran,hillary clinton agrees john mccain voting give george bush benefit doubt iran,1
3,healthcare reform law likely require free sexreassignment surgery,health care reform legislation likely mandate free sex change surgeries,0
4,economic turnaround began end term office,economic turnaround started end term,1
5,chicago bears starting quarterbacks last  years total number faculty fired last two decades,chicago bears starting quarterbacks last  years total number tenured uw faculty fired last two decades,1
6,jim dunnam lived district represents years,jim dunnam lived district represents years,0
7,person stage actively involved last year together russ feingold passed toughest ethics reforms since watergate,im person stage worked actively last year passing along russ feingold toughest ethics reform since watergate,1
8,however took  million oregon lottery funds port newport eventually land new noaa marine operations centerpacific,however took  million oregon lottery funds port newport eventually land new noaa marine operations centerpacific,1
9,gop primary opponents glenn grothman joe leibham cast compromise vote cost  million higher electricity costs,says gop primary opponents glenn grothman joe leibham cast compromise vote cost  million higher electricity costs,1
10,first time history share national vote smaller latin america,first time history share national popular vote margin smaller latino vote margin,1
11,since  nearly  million middleclass americans slipped poverty,since  nearly  million americans slipped middle class poverty,1
12,mitt romney governor massachusetts slowed governments growth rate actually lowered,mitt romney governor massachusetts didnt slow rate growth government actually cut,0
13,economy bled  billion due government shutdown,economy bled  billion due government shutdown,1
14,affordable care act already repealed otherwise suspended,affordable care act already sense waived otherwise suspended,0
15,last election november  percent american people chose vote  percent young people  percent lowincome workers chose vote,last election november   percent american people chose vote   percent young people  percent lowincome workers chose vote,1
16,mccain objected requirement government buy americanmade motorcycles saying buy american provisions disgraceful,mccain opposed requirement government buy americanmade motorcycles said buyamerican provisions quote disgraceful,1
17,rep ron kind dwis democratic colleagues went spending spree credit card full,us rep ron kind dwis fellow democrats went spending spree credit card maxed,0
18,manila philippines water prices raised  percent world bank subsidiary became partowner,water rates manila philippines raised  percent subsidiary world bank became partial owner,1
19,last year nearly  people left puerto rico,almost  people left puerto rico last year,1
20,women men earn less inflationadjusted terms john mccain first elected governor,women men making less adjust inflation john kitzhaber first elected governor,0
21,united states highest corporate tax rate free world,united states highest corporate tax rate free world,1
22,best year auto industry america history,best year auto industry america history,1
23,scott walker says supports removing  families children health care,says scott walker favors cutting  families children health care,1
24,says mitt romney wants get rid planned parenting,says mitt romney wants get rid planned parenthood,0
25,dont know jonathan gruber,dont know jonathan gruber,0
26,hate crimes american muslims mosques tripled paris san bernardino,hate crimes american muslims mosques tripled paris san bernardino,1
27,rick perry never lost election remains one win texas governors office three times landslide elections,rick perry never lost election remains person texas governorship three times landslide elections,1
28,isis supporter tweeted am shooting began am chattanooga,isis supporter tweeted  shooting began  chattanooga tenn,0
29,youth unemployment minorities ranges   percent,youth unemployment minority communities   percent,1
30,paul ryan says hes still trump,says paul ryan still endorsing trump,1
31,look countries rightly working always budget deficit good business climate,look states right work constantly budget deficits good business climates,0
32,obama administration going bring next months wont even able burn coal much existing plants,obama administration going come next several months youre even going able burn coal limitedly existing plants,0
