,clean_text,clean_title,label
0,The group supports third-trimester abortions on demand.,says the annies list political group supports third-trimester abortions on demand.,0
1,When did the decline of coal begin? it began when natural gas started flowing in (President George W.) Bush's administration.,when did the decline of coal start? it started when natural gas took off that started to begin in (president george w.) bushs administration.,1
2,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt about Iran.""","hillary clinton agrees with john mccain ""by voting to give george bush the benefit of the doubt on iran.""",1
3,The health-care reform law is likely to require free sex-reassignment surgery.,health care reform legislation is likely to mandate free sex change surgeries.,0
4,The economic turnaround began at the end of my term of office.,the economic turnaround started at the end of my term.,1
5,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of faculty fired in the last two decades.,the chicago bears have had more starting quarterbacks in the last 10 years than the total number of tenured (uw) faculty fired during the last two decades.,1
6,jim dunnam has not lived in the district he represents for years.,jim dunnam has not lived in the district he represents for years now.,0
7,"i am the only person on this stage who has been actively involved only in the last year, when together with russ feingold they passed some of the toughest ethics reforms since watergate.","i'm the only person on this stage who has worked actively just last year passing, along with russ feingold, some of the toughest ethics reform since watergate.",1
8,"However, it took $19.5 million in Oregon lottery funds for the Port of Newport to eventually land the new noaa Marine Operations Center-Pacific.","however, it took $19.5 million in oregon lottery funds for the port of newport to eventually land the new noaa marine operations center-pacific.",1
9,GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,says gop primary opponents glenn grothman and joe leibham cast a compromise vote that cost $788 million in higher electricity costs.,1
10,"For the first time in history, the share of the national vote is smaller than that of Latin America.","for the first time in history, the share of the national popular vote margin is smaller than the latino vote margin.",1
11,"Since 2000, nearly 12 million middle-class Americans have slipped into poverty.","since 2000, nearly 12 million americans have slipped out of the middle class and into poverty.",1
12,"When Mitt romney was governor of Massachusetts, we not only slowed down our government's growth rate, we actually lowered it.","when mitt romney was governor of massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",0
13,The economy bled out $24 billion due to the government shutdown.,the economy bled $24 billion due to the government shutdown.,1
14,Most of the (Affordable Care Act) has already been repealed or otherwise suspended.,most of the (affordable care act) has already in some sense been waived or otherwise suspended.,0
15,In this last election in November... 63 percent of the American people chose not to vote... 80 percent of young people and (and) 75 percent of low-income workers chose not to vote.,"in this last election in november, ... 63 percent of the american people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",1
16,"McCain objected to the requirement that the government buy American-made motorcycles, saying all Buy American provisions were ""disgraceful.""",mccain opposed a requirement that the government buy american-made motorcycles. and he said all buy-american provisions were quote 'disgraceful.' ,1
17,"Rep. Ron Kind, D-Wis., and his Democratic colleagues went on a spending spree, and now their credit card is full.","u.s. rep. ron kind, d-wis., and his fellow democrats went on a spending spree and now their credit card is maxed out",0
18,"In Manila, Philippines, water prices were raised to 845 percent when a World Bank subsidiary became part-owner.","water rates in manila, philippines, were raised up to 845 percent when a subsidiary of the world bank became a partial owner.",1
19,"Last year, nearly 100,000 people left Puerto Rico.","almost 100,000 people left puerto rico last year.",1
20,Both women and men earn less in inflation-adjusted terms than when John McCain was first elected governor.,women and men both are making less when you adjust for inflation than when john kitzhaber was first elected governor.,0
21,The United States has the highest corporate tax rate in the free world.,the united states has the highest corporate tax rate in the free world.,1
22,we just had the best year for the auto industry in america in history.,we just had the best year for the auto industry in america in history.,1
23,"Scott Walker says he supports removing up to 350,000 families and children from health care.","says scott walker favors cutting up to 350,000 families and children off health care.",1
24,says mitt romney wants to get rid of the planned parenting.,says mitt romney wants to get rid of planned parenthood.,0
25,I don't know who (jonathan gruber) is.,i dont know who (jonathan gruber) is.,0
26,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,hate crimes against american muslims and mosques have tripled after paris and san bernardino.,1
27,Rick Perry has never lost an election and remains the only one to win the Texas governor's office three times in landslide elections.,rick perry has never lost an election and remains the only person to have won the texas governorship three times in landslide elections.,1
28,The ISIS supporter tweeted at 10.34am that the shooting began at 10.45am in Chattanooga.,"isis supporter tweeted at 10:34 a.m. shooting began at 10:45 a.m. in chattanooga, tenn.",0
29,Youth unemployment in minorities ranges from 40 to 45 percent.,youth unemployment in minority communities is about 40 to 45 percent.,1
30,Paul Ryan says he's still trump.,says paul ryan is still endorsing trump.,1
31,"If you look at countries that are rightly working, they do not always have a budget deficit and a very good business climate.","if you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",0
32,What (the Obama administration) is going to bring out in the next few months is that you won't even be able to burn coal very much at the existing plants.,what (the obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,0
33,We lower business taxes so that today 70 percent of our companies pay no business tax.,we cut business taxes so today 70 percent of our businesses dont pay a business tax.,1
34,Mark Pryor says votes with Obama 93 percent of the time.,says mark pryor votes with obama 93 percent of the time.,1
35,We have a federal government that believes it has the authority to regulate our toilet seats.,we have a federal government that thinks they have the authority to regulate our toilet seats.,1
36,austin is a city that has doubled every 25 years since it was founded.,austin is a city that has basically doubled in size every 25 years or so since it was founded.,1
37,the nuclear test conducted in our nation is the 2.04th nuclear test in the world. the five permanent members of the UN Security Council have conducted 99.99 percent of the total nuclear tests.,"the nuclear test conducted in our nation this time is the earth's 2,054th nuclear test. the five permanent members of the u.n. security council have conducted 99.99 percent of the total nuclear tests.",1
38,"In the event of a catastrophic event, the Atlantic offices of the Centers for Disease Control and Prevention destroy themselves.","in the case of a catastrophic event, the atlanta-area offices of the centers for disease control and prevention will self-destruct.",0
39,"Under President George W. Bush, we increased the debt by $4.9 trillion; under President Obama, we increased the debt by $6.5 trillion.","under president george w. bush, we added $4.9 trillion to the debt. under president obama weve added $6.5 trillion to the debt.",1
40,A US Supreme Court judge says some US cases will be decided on the basis of South African law.,says a u.s. supreme court justice suggested that some u.s. cases will be decided based on south african law.,0
41,"Rubio said he skipped 18 defense votes, including one to arm the Kurds in the fight against Isis.",says marco rubio skipped 18 defense votes including one to arm the kurds to fight isis.,1
42,"Rep. David Cicillin is responsible for the federal guarantee for solyndra, the failed solar company","rep. david cicilline is responsible for the federal loan guarantee to solyndra, the failed solar company",0
43,Ohio Gov. John Kasich says later in the law that requires women who want to have an abortion to undergo a mandatory vaginal tube.,says ohio budget item later signed into law by gov. john kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,0
44,We have a Director of Homeland Security who cannot and will not use the term 'terrorist attack' but will replace 'man-made disaster'.,we have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,0
45,"African-American youth unemployment is 51 percent, and Hispanic youth unemployment is 36 percent.",african-american youth unemployment is 51 percent. hispanic youth unemployment is 36 percent.,1
46,"Obamacare will provide insurance to all non-US citizens, even if they are here illegally.","obamacare will provide insurance to all non-u.s. residents, even if they are here illegally.",0
47,President Barack Obama has not used any of his own deficit-reduction commissions.,president barack obama took exactly none of his own deficit reduction commissions ideas. not one.,0
48,it was under barack obama and hillary clinton who changed the rules of engagement that probably cost (capt. humayun khans) his life.,it was under barack obama and hillary clinton that changed the rules of engagement that probably cost (capt. humayun khans) life.,0
49,Hillary Clinton co-sponsored a bill in 2005 that would put flagpoles in prison.,hillary clinton in 2005 co-sponsored legislation that would jail flag burners.,1
50,The paperback edition of Mitt Romney's book deleted line says Massachusetts' individual mandate should be the model for the country,says the paperback edition of mitt romneys book deleted line that massachusetts individual mandate should be the model for the country,0
51,"Maggie Hassan has raised tuition fees, making it the highest in America.","maggie hassan raised tuition, making it the highest in america.",0
52,", says terry cloth mcauliffe is the one who invented the system to rent the lincoln bedroom.",says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom.,0
53,"We created 800,000 new jobs, we almost halved the unemployment rate, and today New York has more private-sector jobs than at any time in its history.","we created 800,000 new jobs, we cut the unemployment rate almost in half and today new york state has more private sector jobs than it has ever had in its history",1
54,"We have cities in West Texas that have run out of water, that have to stand in the water.","we have towns in west texas that are out of water, that are having to truck in water.",0
55,"In Georgia, women earn 82 cents for every dollar men earn.","in georgia, women earn 82 cents for every dollar earned by men.",1
56,"A federal system that checks workers ""eligibility to work in the US is inaccurate anywhere from 50% to more than 80% of the time.",a federal system that verifies employees are authorized to work in the u.s. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,1
57,"They wanted to build the wall a while ago, not as long ago as in 2006, and they couldn't get environmental impact assessments.","they were going to build the wall a while ago, not so long ago, like in 06. and they couldnt get environmental impact statements.",0
58,Obama's campaign announced he would be selecting his Cabinet.,sen. obama's campaign announced that he's choosing his cabinet.,0
59,"In 2008, only 54 percent of Latinos in Texas were registered to vote, and only 35 percent actually went to the polls.","in 2008, only 54 percent of latinos in texas were registered to vote and only 35 percent actually turned out.",1
60,Only 2 percent of public high schools in the country offer E-classes.,only 2 percent of public high schools in the country offer pe classes.,0
61,"He said he was the only Republican candidate ""who actually turned a government economy around.""","said he's the only republican candidate ""who's actually turned around a government economy.""",1
