,clean_text,clean_title,label
0,says the annies list political group supports third-trimester abortions on demand.,says the annies list political group supports third-trimester abortions on demand.,0
1,when did the decline of coal start? it started when natural gas took off that started to begin in (president george w.) bushs administration.,when did the decline of coal start? it started when natural gas took off that started to begin in (president george w.) bushs administration.,1
2,"hillary clinton agrees with john mccain ""by voting to give george bush the benefit of the doubt on iran.""","hillary clinton agrees with john mccain ""by voting to give george bush the benefit of the doubt on iran.""",1
3,health care reform legislation is likely to mandate free sex change surgeries.,health care reform legislation is likely to mandate free sex change surgeries.,0
4,the economic turnaround started at the end of my term.,the economic turnaround started at the end of my term.,1
5,the chicago bears have had more starting quarterbacks in the last 10 years than the total number of tenured (uw) faculty fired during the last two decades.,the chicago bears have had more starting quarterbacks in the last 10 years than the total number of tenured (uw) faculty fired during the last two decades.,1
6,jim dunnam has not lived in the district he represents for years now.,jim dunnam has not lived in the district he represents for years now.,0
7,"i'm the only person on this stage who has worked actively just last year passing, along with russ feingold, some of the toughest ethics reform since watergate.","i'm the only person on this stage who has worked actively just last year passing, along with russ feingold, some of the toughest ethics reform since watergate.",1
8,"however, it took $19.5 million in oregon lottery funds for the port of newport to eventually land the new noaa marine operations center-pacific.","however, it took $19.5 million in oregon lottery funds for the port of newport to eventually land the new noaa marine operations center-pacific.",1
9,says gop primary opponents glenn grothman and joe leibham cast a compromise vote that cost $788 million in higher electricity costs.,says gop primary opponents glenn grothman and joe leibham cast a compromise vote that cost $788 million in higher electricity costs.,1
10,"for the first time in history, the share of the national popular vote margin is smaller than the latino vote margin.","for the first time in history, the share of the national popular vote margin is smaller than the latino vote margin.",1
11,"since 2000, nearly 12 million americans have slipped out of the middle class and into poverty.","since 2000, nearly 12 million americans have slipped out of the middle class and into poverty.",1
12,"when mitt romney was governor of massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","when mitt romney was governor of massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",0
13,the economy bled $24 billion due to the government shutdown.,the economy bled $24 billion due to the government shutdown.,1
14,most of the (affordable care act) has already in some sense been waived or otherwise suspended.,most of the (affordable care act) has already in some sense been waived or otherwise suspended.,0
15,"in this last election in november, ... 63 percent of the american people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.","in this last election in november, ... 63 percent of the american people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",1
