,clean_text,clean_title,label
0,enunciate annies listing political group supports thirdtrimester miscarriage demand,says annies list political group supports thirdtrimester abortions demand,0
1,decline char start come instinctive brag subscribe come commence president george ii bushs administration,decline coal start started natural gas took started begin president george bushs administration,1
2,sir edmund percival hillary dewitt clinton concord king john mccain vote give george bush benefit doubt iran,hillary clinton agrees john mccain voting give george bush benefit doubt iran,1
3,health care reclaim legislation likely mandate innocent sex transfer surgeries,health care reform legislation likely mandate free sex change surgeries,0
4,economical turnaround set terminal term,economic turnaround started end term,1
5,newmarket bears protrude signal caller shoemakers last  years total act tenure uw faculty sack shoemakers last deuce decades,chicago bears starting quarterbacks last  years total number tenured uw faculty fired last two decades,1
6,jim dunnam populate territory present years,jim dunnam lived district represents years,0
7,im someone stage ferment actively finally year passing rus feingold toughened ethical motive reclaim since watergate,im person stage worked actively last year passing along russ feingold toughest ethics reform since watergate,1
8,however took  million beaver state drawing investment trust embrasure newport finally land new national oceanic atmospheric administration marine operations centerpacific,however took  million oregon lottery funds port newport eventually land new noaa marine operations centerpacific,1
9,says gop principal opponents john glenn grothman joe leibham shape via media vote monetary value  one thousand thousand higher electricity costs,says gop primary opponents glenn grothman joe leibham cast compromise vote cost  million higher electricity costs,1
10,kickoff clock history part internal popular voting margin smaller hispanic voting margin,first time history share national popular vote margin smaller latino vote margin,1
11,since  nearly dozen american language slipped middle stratum poverty,since  nearly  million americans slipped middle class poverty,1
12,mitt romney regulator massachusetts didnt decelerate value ontogenesis government reality track,mitt romney governor massachusetts didnt slow rate growth government actually cut,0
13,economy run  jillion due authorities shutdown,economy bled  billion due government shutdown,1
14,affordable manage act already sentiency relinquish differently suspended,affordable care act already sense waived otherwise suspended,0
15,net election november  lxiii pct american hoi polloi choose vote  lxxx pct untried people seventy five pct lowincome proletarian choose vote,last election november   percent american people chose vote   percent young people  percent lowincome workers chose vote,1
16,mccain fight prerequisite politics purchase americanmade motorcycles sound buyamerican provisions quotation disgraceful,mccain opposed requirement government buy americanmade motorcycles said buyamerican provisions quote disgraceful,1
17,us rep daffo kind dwis familiar democrat go outlay spree deferred payment card maxed,us rep ron kind dwis fellow democrats went spending spree credit card maxed,0
18,piddle range manila philippines lift  percent subsidiary domain bank turn partial derivative owner,water rates manila philippines raised  percent subsidiary world bank became partial owner,1
19,people left puerto rico act last year,almost  people left puerto rico last year,1
20,womanhood homo pass water less align pompousness john kitzhaber first elective governor,women men making less adjust inflation john kitzhaber first elected governor,0
21,united nation high incarnate tax rate free world,united states highest corporate tax rate free world,1
22,best yr car diligence states history,best year auto industry america history,1
23,says robert scott walker prefer cutting  category nestling health care,says scott walker favors cutting  families children health care,1
24,says manus romney privation get rid project parenthood,says mitt romney wants get rid planned parenthood,0
25,dont sleep together jonathan gruber,dont know jonathan gruber,0
26,detest crimes american english muslims mosques triple city light san bernardino,hate crimes american muslims mosques tripled paris san bernardino,1
27,wrick perry neer lost election continue person lone star state governorship three time landslip elections,rick perry never lost election remains person texas governorship three times landslide elections,1
28,directorate inter services intelligence supporter pinch  ante meridiem shooting set  ante meridiem chattanooga tenn,isis supporter tweeted  shooting began  chattanooga tenn,0
29,juvenility unemployment nonage communities  xlv percent,youth unemployment minority communities   percent,1
30,articulate saul ryan still endorsing trump,says paul ryan still endorsing trump,1
31,depend state department ripe work forever budget shortage dear line climates,look states right work constantly budget deficits good business climates,0
32,obama judicature belong get along next respective calendar month youre regular belong capable burn char limitedly survive plants,obama administration going come next several months youre even going able burn coal limitedly existing plants,0
33,curve business sector taxes today lxx per centum businesses dont pay business sector tax,cut business taxes today  percent businesses dont pay business tax,1
34,tell deutsche mark pryor vote obama  percent time,says mark pryor votes obama  percent time,1
35,federal governing call back self confidence shape toilet seats,federal government thinks authority regulate toilet seats,1
36,capital texas metropolis basically doubled size every xxv geezerhood since founded,austin city basically doubled size every  years since founded,1
37,nuclear test take country fourth dimension earths th nuclear test quint perm member un protection council take  pct totality nuclear tests,nuclear test conducted nation time earths th nuclear test five permanent members un security council conducted  percent total nuclear tests,1
38,pillowcase ruinous event atlantaarea agency gist disease hold bar selfdestruct,case catastrophic event atlantaarea offices centers disease control prevention selfdestruct,0
