,label,text,clean_text
0,Fake,Says the Annies List political group supports third-trimester abortions on demand.,says annies list political group supports thirdtrimester abortions demand
1,Real,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,decline coal start started natural gas took started begin president george bushs administration
2,Real,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",hillary clinton agrees john mccain voting give george bush benefit doubt iran
3,Fake,Health care reform legislation is likely to mandate free sex change surgeries.,health care reform legislation likely mandate free sex change surgeries
4,Real,The economic turnaround started at the end of my term.,economic turnaround started end term
5,Real,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,chicago bears starting quarterbacks last  years total number tenured uw faculty fired last two decades
6,Fake,Jim Dunnam has not lived in the district he represents for years now.,jim dunnam lived district represents years
7,Real,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",im person stage worked actively last year passing along russ feingold toughest ethics reform since watergate
8,Real,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",however took  million oregon lottery funds port newport eventually land new noaa marine operations centerpacific
9,Real,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,says gop primary opponents glenn grothman joe leibham cast compromise vote cost  million higher electricity costs
10,Real,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",first time history share national popular vote margin smaller latino vote margin
11,Real,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",since  nearly  million americans slipped middle class poverty
12,Fake,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",mitt romney governor massachusetts didnt slow rate growth government actually cut
13,Real,The economy bled $24 billion due to the government shutdown.,economy bled  billion due government shutdown
14,Fake,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,affordable care act already sense waived otherwise suspended
15,Real,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",last election november   percent american people chose vote   percent young people  percent lowincome workers chose vote
16,Real,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,mccain opposed requirement government buy americanmade motorcycles said buyamerican provisions quote disgraceful
17,Fake,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",us rep ron kind dwis fellow democrats went spending spree credit card maxed
18,Real,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",water rates manila philippines raised  percent subsidiary world bank became partial owner
19,Real,"Almost 100,000 people left Puerto Rico last year.",almost  people left puerto rico last year
20,Fake,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,women men making less adjust inflation john kitzhaber first elected governor
21,Real,The United States has the highest corporate tax rate in the free world.,united states highest corporate tax rate free world
22,Real,We just had the best year for the auto industry in America in history.,best year auto industry america history
23,Real,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",says scott walker favors cutting  families children health care
24,Fake,Says Mitt Romney wants to get rid of Planned Parenthood.,says mitt romney wants get rid planned parenthood
25,Fake,I dont know who (Jonathan Gruber) is.,dont know jonathan gruber
26,Real,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,hate crimes american muslims mosques tripled paris san bernardino
27,Real,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,rick perry never lost election remains person texas governorship three times landslide elections
28,Fake,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",isis supporter tweeted  shooting began  chattanooga tenn
29,Real,Youth unemployment in minority communities is about 40 to 45 percent.,youth unemployment minority communities   percent
30,Real,Says Paul Ryan is still endorsing Trump.,says paul ryan still endorsing trump
31,Fake,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",look states right work constantly budget deficits good business climates
32,Fake,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,obama administration going come next several months youre even going able burn coal limitedly existing plants
33,Real,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,cut business taxes today  percent businesses dont pay business tax
34,Real,Says Mark Pryor votes with Obama 93 percent of the time.,says mark pryor votes obama  percent time
35,Real,We have a federal government that thinks they have the authority to regulate our toilet seats.,federal government thinks authority regulate toilet seats
36,Real,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,austin city basically doubled size every  years since founded
37,Real,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",nuclear test conducted nation time earths th nuclear test five permanent members un security council conducted  percent total nuclear tests
38,Fake,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",case catastrophic event atlantaarea offices centers disease control prevention selfdestruct
39,Real,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",president george bush added  trillion debt president obama weve added  trillion debt
40,Fake,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,says us supreme court justice suggested us cases decided based south african law
41,Real,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,says marco rubio skipped  defense votes including one arm kurds fight isis
